State,Administrative District,Population (2010),Area (km2),Density
Federal Territory (Malaysia),Kuala Lumpur,1674621,243,6891.4
Federal Territory (Malaysia),Putrajaya,72413,49,1477.8
Federal Territory (Malaysia),Labuan,86908,92,944.7
Johor,Batu Pahat,417458,1873,222.9
Johor,Johor Baharu,1386569,1064,1303.2
Johor,Keluang,298332,2865,104.1
Johor,Kota Tinggi,193210,3489,55.4
Johor,Kulaijaya,251650,754,333.8
Johor,Mersing,70894,2838,25
Johor,Muar,247957,1354,183.1
Johor,Pontian,155541,933,166.7
Johor,Segamat,189820,2807,67.6
Johor,Ledang,136852,970,141.1
Kedah,Baling,135646,1530,88.7
Kedah,Bandar Baharu,42341,271,156.2
Kedah,Kota Setar,366787,423,867.1
Kedah,Kuala Muda,456605,928,492
Kedah,Kubang Pasu,220740,946,233.3
Kedah,Kulim,287694,765,376.1
Kedah,Langkawi,94777,478,198.3
Kedah,Padang Terap,62896,1357,46.3
Kedah,Pendang,94962,629,151
Kedah,Pokok Sena,49506,242,204.6
Kedah,Sik,67378,1636,41.2
Kedah,Yan,68319,242,282.3
Kelantan,Bachok,133152,264,504.4
Kelantan,Gua Musang,90057,7980,11.3
Kelantan,Jeli,40637,1280,31.7
Kelantan,Kota Bharu,491237,409,1201.1
Kelantan,Kuala Krai,109461,2329,47
Kelantan,Machang,93087,546,170.5
Kelantan,Pasir Mas,189292,614,308.3
Kelantan,Pasir Putih,117383,434,270.5
Kelantan,Tanah Merah,121319,868,139.8
Kelantan,Tumpat,153976,170,905.7
Melaka,Alor Gajah,182666,660,276.8
Melaka,Melaka Tengah,503127,314,1602.3
Melaka,Jasin,135317,676,200.2
Negeri Sembilan,Jelebu,39200,1350,29
Negeri Sembilan,Jempol,116576,1491,78.2
Negeri Sembilan,Kuala Pilah,66092,1090,60.6
Negeri Sembilan,Port Dickson,115361,572,201.7
Negeri Sembilan,Rembau,43011,415,103.6
Negeri Sembilan,Seremban,555935,935,594.6
Negeri Sembilan,Tampin,84889,879,96.6
Pahang,Bentong,119817,1831,65.4
Pahang,Bera,97882,2214,44.2
Pahang,Cameron Highlands,38471,712,54
Pahang,Jerantut,91096,7208,12.6
Pahang,Kuantan,461906,2960,156
Pahang,Lipis,89730,5168,17.4
Pahang,Maran,115424,1996,57.8
Pahang,Pekan,110633,3846,28.8
Pahang,Raub,95506,2268,42.1
Pahang,Rompin,114901,5735,20
Pahang,Temerloh,165451,2251,73.5
Pulau Pinang,Seberang Perai Tengah,371975,238,1562.9
Pulau Pinang,Seberang Perai Utara,295979,267,1108.5
Pulau Pinang,Timur Laut,520242,124,4195.5
Pulau Pinang,Seberang Perai Selatan,171045,242,706.8
Pulau Pinang,Barat Daya,202142,175,1155.1
Perak,Bagan Datuk,70300,951.52,73.9
Perak,Batang Padang,123600,1794.18,68.9
Perak,Hilir Perak,138270,792.07,174.6
Perak,Hulu Perak,91218,6560.43,13.9
Perak,Kampar,98978,669.8,147.8
Perak,Kerian,179706,921.47,195
Perak,Kinta,767794,1305,588.3
Perak,Kuala Kangsar,159505,2563.61,62.2
Perak,Larut and Matang,334073,2112.61,158.1
Perak,Manjung,232277,1113.58,208.6
Perak,Muallim,69639,934.35,74.5
Perak,Perak Tengah,101128,1279.46,79
Perlis,Perlis,231541,821,282
Selangor,Gombak,682226,650,1049.6
Selangor,Hulu Langat,1156585,829,1395.2
Selangor,Hulu Selangor,198132,1740,113.9
Selangor,Klang,861189,627,1373.5
Selangor,Kuala Langat,224648,858,261.8
Selangor,Kuala Selangor,209590,1195,175.4
Selangor,Petaling,1812633,484,3745.1
Selangor,Sabak Bernam,105777,997,106.1
Selangor,Sepang,211361,600,352.3
Terengganu,Besut,140952,1234,114.2
Terengganu,Dungun,154932,2735,56.6
Terengganu,Hulu Terengganu,72052,3875,18.6
Terengganu,Kemaman,171383,2536,67.6
Terengganu,Kuala Nerus,173800,399,435.6
Terengganu,Kuala Terengganu,184600,210,879
Terengganu,Marang,97857,667,146.7
Terengganu,Setiu,55517,1304,42.6
Sabah,Beaufort,64350,1735,37.1
Sabah,Beluran,104484,8345,12.5
Sabah,Keningau,173103,3533,49
Sabah,Kota Belud,91272,1386,65.9
Sabah,Kinabatangan,146987,8000,18.4
Sabah,Kota Kinabalu,462963,350,1322.8
Sabah,Kota Marudu,66374,1917,34.6
Sabah,Kuala Penyu,18958,453,41.8
Sabah,Kudat,83140,1287,64.6
Sabah,Kunak,61094,1134,53.9
Sabah,Lahad Datu,199830,6501,30.7
Sabah,Nabawan,31807,6089,5.2
Sabah,Papar,124420,1234,100.8
Sabah,Penampang,121934,466,261.7
Sabah,Putatan,54733,29.7,1842.9
Sabah,Pitas,37808,1419,26.6
Sabah,Ranau,94092,2978,31.6
Sabah,Sandakan,396290,2266,174.9
Sabah,Semporna,133164,1145,116.3
Sabah,Sipitang,34862,2732.5,12.8
Sabah,Tambunan,35667,1347,26.5
Sabah,Tawau,397673,6125,64.9
Sabah,Telupid,0,,
Sabah,Tenom,55553,2409,23.1
Sabah,Tongod,35341,10052,3.5
Sabah,Tuaran,102411,1165,87.9
Sarawak,Betong,0,62131,
Sarawak,Kabong,0,,
Sarawak,Pusa,0,,
Sarawak,Saratok,0,46094,
Sarawak,Bintulu,0,189146,
Sarawak,Tatau,0,30383,
Sarawak,Belaga,0,36114,
Sarawak,Kapit,0,56053,
Sarawak,Song,0,20595,
Sarawak,Bukit Mabong,0,,
Sarawak,Bau,0,54246,
Sarawak,Kuching,0,617887,
Sarawak,Lundu,0,33413,
Sarawak,Lawas,0,38385,
Sarawak,Limbang,0,48186,
Sarawak,Beluru,0,,
Sarawak,Marudi,0,64018,
Sarawak,Miri,0,300543,
Sarawak,Subis,0,,
Sarawak,Subis,0,,
Sarawak,Dalat,0,19062,
Sarawak,Daro,0,30671,
Sarawak,Matu,0,17369,
Sarawak,Mukah,0,42922,
Sarawak,Tanjung Manis,0,,
Sarawak,Asajaya,0,31874,
Sarawak,Samarahan,0,87923,
Sarawak,Simunjan,0,39226,
Sarawak,Julau,0,15816,
Sarawak,Meradong,0,29441,
Sarawak,Pakan,0,15480,
Sarawak,Sarikei,0,58021,
Sarawak,Serian,0,91599,
Sarawak,Tebedu,0,,
Sarawak,Kanowit,0,28954,
Sarawak,Sibu,0,247995,
Sarawak,Selangau,0,22819,
Sarawak,Lubok Antu,0,27984,
Sarawak,Sri Aman,0,66790,
